point_id  latitude        longitude    height
20020000  52.754767993    3.006916444  302.1601
20020001  53.106038193    5.255859149  345.4981
20020002  54.534713901    5.126602280  203.4229
20020003  54.225638290    3.574448252  287.9925
20020004  55.245210140    5.396694470  375.6215
20020005  51.949966807    4.578691072   72.4824
20020006  55.702721175    7.042689904   39.9560
20020007  52.550604318    5.831221332  122.9208
20020008  51.815027796    2.566713631  213.4624
20020009  55.006613913    4.152637085   -6.8689
20020010  51.193700190    7.156607742  474.8791
20020011  51.180206950    3.523695263  330.0001
20020012  54.599168598    7.427620526  203.2796
20020013  55.848198481    4.195441133  154.3788
20020014  55.274191256    5.661774859   19.7578
20020015  50.257048989    6.042047979  165.0738
20020016  51.037614308    5.369663855  306.6623
20020017  50.164735011    7.349495085  393.6168
20020018  51.349722436    4.643626589  417.0106
20020019  52.334279128    5.877530677  382.6839
20020020  54.502310212    5.056943489  120.1277
20020021  53.919710995    6.119583449  293.4341
20020022  50.016391368    4.201963370  387.8028
20020023  52.864646589    3.894219232   65.1257
20020024  51.810479078    6.544844003  185.5368
20020025  55.570314746    6.202458588  401.5945
20020026  54.681111694    5.289759243  399.9079
20020027  55.180696318    4.581678335  -27.0611
20020028  55.789778329    5.759099801  351.9889
20020029  55.078817655    3.060233912   74.5624
20020030  55.174035682    6.290071138  309.3414
20020031  53.633433887    4.193035072  -32.8919
20020032  52.986580170    6.860546883   28.1859
20020033  54.161680958    4.137950719  371.0588
20020034  55.500611804    5.650270726  -13.5674
20020035  52.720440091    5.952381164  367.6941
20020036  54.089503248    5.909481874  -37.3341
20020037  53.507194839    6.430095622   20.4704
20020038  50.840382835    3.647691338  134.5892
20020039  50.700349837    3.640641842  107.5427
20020040  51.698652540    5.269633742  283.5435
20020041  50.388524965    4.073504332   55.8415
20020042  52.397004099    6.756741156  -19.2877
20020043  50.065105599    6.675774700  412.5544
20020044  52.688115766    7.151805278   71.2133
20020045  55.823636159    5.305180176  332.1869
20020046  50.773369445    6.363911565  230.9121
20020047  54.968767486    7.213088150   95.6217
20020048  55.225299196    5.374153955  181.9430
20020049  55.074680274    2.348695014  331.2063
20020050  51.213448387    4.814888485  301.3672
20020051  55.756506164    2.371858039  287.9981
20020052  50.407591560    3.631480941   -8.7326
20020053  54.607138026    7.720495228  333.4998
20020054  51.289438492    5.956949106  426.7904
20020055  52.992618157    7.612677159  161.8904
20020056  53.566710450    6.359794597  290.5694
20020057  55.218270909    7.277791998  168.9005
20020058  54.834308920    3.508573048   82.7133
20020059  53.148679795    3.723928561  105.9312
20020060  50.108565866    6.134149204  406.9213
20020061  50.827640460    4.430436168  106.1503
20020062  50.634783960    4.067851019   16.8796
20020063  52.434846628    3.901981175   45.3814
20020064  54.969636763    3.634534848  204.6147
20020065  51.125818843    6.091496644  457.9706
20020066  55.561581979    2.272874461  -44.9233
20020067  54.817302623    6.553076754  253.7249
20020068  50.632002309    4.252904320  291.8721
20020069  55.334742830    6.617615950  499.1204
20020070  54.705983135    5.639998218  248.4211
20020071  52.187294083    7.687241672   25.1192
20020072  54.779858097    4.463648310  364.8322
20020073  55.083208525    7.940828456  167.1718
20020074  52.053326803    4.989441211  285.4098
20020075  54.056094024    2.588399700  -10.4155
20020076  50.164724929    4.581618974  333.0421
20020077  55.591984287    7.924948097  286.5175
20020078  55.588466323    6.633278540  472.5599
20020079  51.681745861    5.832655496  465.5579
20020080  51.896018186    3.814812601  477.4596
20020081  55.498310540    6.383760270  226.3029
20020082  52.785553438    3.519585159  278.0817
20020083  52.204037115    2.092027412  319.0578
20020084  51.476211842    6.799325593  359.3663
20020085  54.851746145    4.778751715   -0.2346
20020086  50.157807637    2.176295039   22.0377
20020087  55.197386617    5.559764520  380.7542
20020088  50.205448437    7.119554513  421.4975
20020089  50.842337348    7.316445346  136.2954
20020090  52.488030134    2.828141428   68.1258
20020091  55.478061881    7.584254529  157.6617
20020092  54.981974767    5.337916027  199.4918
20020093  50.339493199    5.369292073  462.2613
20020094  50.749440170    3.045826898  207.1137
20020095  54.836706509    5.993335624    1.2348
20020096  54.960006235    4.837905212  367.6034
20020097  54.750875648    3.206609910  222.3179
20020098  55.023759911    2.068142767  344.7603
20020099  51.009520290    6.210347717  487.8772
20020100  53.795812989    2.678737842  209.1108
20020101  54.172313698    5.793775045  -19.0461
20020102  53.317486969    3.353810429  167.3680
20020103  54.854770946    7.704991504  149.0798
20020104  50.456426267    3.489218076   -2.6301
20020105  54.755135758    5.807226372  263.9466
20020106  55.456921962    4.958093776  468.4961
20020107  52.195431024    7.911204582  158.2701
20020108  50.846120036    2.544444112  184.8698
20020109  53.246499572    4.918579134  -33.5276
20020110  51.880266195    6.547765712  351.9602
20020111  53.377008425    5.173443192  256.5622
20020112  55.702057495    2.314318491  160.9661
20020113  53.525046248    2.289398877  101.2851
20020114  53.077399611    4.158208775  298.2959
20020115  53.164138620    4.415939910  -15.7002
20020116  55.018413706    5.479158568  413.1348
20020117  52.432252702    4.080359203  -28.8214
20020118  54.744912295    5.928361375  -42.3340
20020119  51.171195265    3.290980663   78.7753
20020120  51.852925798    4.120409150  -47.0319
20020121  52.358930239    5.611709801  497.1169
20020122  52.783374783    4.428980570  396.4972
20020123  54.375348074    4.508248671  248.9507
20020124  52.440887980    5.923866251  190.4489
20020125  53.184309111    7.649646029  399.2151
20020126  52.781382614    5.307360435  214.7125
20020127  55.260021697    4.971239772   46.4445
20020128  50.280323283    6.560862819  288.8784
20020129  50.085857830    3.348077742  426.2926
20020130  52.976239594    2.889568784  328.8471
20020131  51.218853533    5.091396649  363.4814
20020132  53.706827324    4.828853646  148.8721
20020133  54.041358014    2.763425233  201.9406
20020134  54.052416470    2.092306572  283.0240
20020135  53.202018566    4.395077369  165.8492
20020136  53.021847299    7.019553353   35.5860
20020137  52.835274912    3.861757806  385.2539
20020138  53.191762122    2.790704230  410.5640
20020139  52.916966467    4.514764945  -10.3545
20020140  53.233510523    5.207389846  316.5878
20020141  54.694212491    3.175971742  387.4313
20020142  52.477148793    5.296022773  -18.2252
20020143  53.896608659    3.476402041   95.0917
20020144  53.644639032    3.058024628  296.8140
20020145  55.784383120    6.890046663   97.1822
20020146  52.134004053    4.765688719  385.2175
20020147  52.989086875    5.714797797   60.1345
20020148  55.165260950    2.412745610  485.6077
20020149  50.187589284    7.005376815  244.8262
20020150  50.134549139    4.910993821   23.7453
20020151  51.804357068    5.800113619   39.9143
20020152  51.674534331    7.119859748  464.7206
20020153  54.721584857    5.113686970  368.2411
20020154  51.740984244    3.438217568   72.0522
20020155  50.928082670    5.142319195  494.9015
20020156  52.561581971    6.881038767  324.6365
20020157  53.072158080    4.805063644  249.0374
20020158  51.498291631    3.745310361  221.8376
20020159  50.417856635    2.503812930  -44.0122
20020160  52.683286890    7.392437835  214.9605
20020161  51.667228557    3.752646938  457.2190
20020162  54.064210441    4.438143712  457.4852
20020163  51.415356054    7.780161797   72.1527
20020164  54.653442697    5.778747274   20.1991
20020165  51.577618791    3.830904152  433.7436
20020166  55.600088800    3.995562815  266.2163
20020167  51.907815489    3.718227238  166.9219
20020168  50.844957760    6.654273806  269.9936
20020169  51.287788173    2.718379878  230.9115
20020170  51.410258935    6.024881335   37.8587
20020171  53.533799882    3.241917757  302.1187
20020172  50.100544278    3.952168765  442.8823
20020173  51.445906492    4.531686754  316.6276
20020174  50.083369493    7.126519531  284.3047
20020175  54.929970715    4.483048857  255.5018
20020176  54.386055533    6.520286396   42.8886
20020177  50.343950674    5.442303854   74.0840
20020178  55.107946559    6.658078443   35.6896
20020179  50.975315411    5.529457552   95.9552
20020180  55.870537020    3.212435581  270.4419
20020181  52.025376111    4.094046460   94.8416
20020182  55.640185308    3.439068577  370.1923
20020183  50.962937317    5.774367542  187.2173
20020184  52.290239820    4.949005865  282.8654
20020185  55.620407658    7.003436881   61.2462
20020186  53.242852733    7.778540699    9.6676
20020187  53.907453274    5.819844741   83.7162
20020188  55.724011129    4.736243941  349.8934
20020189  54.537327183    5.685981221  489.8198
20020190  54.686555232    6.116487661  495.9641
20020191  55.077112542    6.222944800  346.9307
20020192  52.917361178    6.519204584   56.2658
20020193  50.682372808    3.644752841   67.3505
20020194  55.098002311    4.585427441  -42.0255
20020195  52.266202560    5.113846097  138.6372
20020196  52.091921115    2.882006820  176.6065
20020197  51.734638320    5.368422229  143.5594
20020198  53.825575473    5.391595104  415.7884
20020199  54.724258571    5.796554247  391.1820
20020200  53.959133282    4.624841326  242.9793
20020201  50.219531074    3.311796090    4.6648
20020202  55.406247102    6.758350621  412.2370
20020203  55.231297290    5.523958237   82.4755
20020204  53.320585967    2.772790312   -9.6644
20020205  52.483709951    4.853194820  166.4878
20020206  53.024050576    5.280960566   36.8043
20020207  50.522912230    4.559100804  323.3571
20020208  51.258379145    3.075353528   23.4340
20020209  50.319733297    7.373830706  235.3112
20020210  50.099952278    6.870836191  266.0925
20020211  53.719963371    6.180075046   40.6232
20020212  55.105847328    5.869314174  371.5697
20020213  55.516622668    7.799642172  459.3040
20020214  51.825706404    7.617967842  321.7634
20020215  54.877407271    6.653280991   71.0818
20020216  51.998163461    3.857278928  295.9444
20020217  51.382263395    6.532001534   27.2866
20020218  53.827984927    3.937270665   11.8807
20020219  53.965050144    7.348177585  267.1052
20020220  50.805748421    4.433783366  154.8167
20020221  54.872673355    2.812967659  -11.1210
20020222  53.105826883    3.388870317  375.7729
20020223  51.463498728    3.740840909  153.8833
20020224  54.327489135    2.006699383  346.9362
20020225  54.960133685    6.343903843  183.0219
20020226  51.244631633    6.308508436  299.1784
20020227  50.851023995    4.551472107  -46.6387
20020228  54.099546046    6.015748475  290.1299
20020229  54.773253306    6.271024274  460.3820
20020230  51.042104412    2.601284463   66.3050
20020231  51.241698991    4.422904230  495.3207
20020232  54.215262633    4.326222680  108.1692
20020233  53.308945286    3.818389660  317.5173
20020234  51.332180334    3.696794415  306.0209
20020235  54.665829844    2.716664935  239.4597
20020236  55.293262843    7.452468530  293.4566
20020237  51.704290022    5.057916035  -11.8108
20020238  50.318332140    4.348878454  364.2946
20020239  51.083428494    3.555728258  349.0208
20020240  53.650057026    6.496953710   37.7487
20020241  55.056014915    5.155591000  494.6516
20020242  50.152308165    2.711163219  259.7862
20020243  55.607445632    2.033949383  313.9589
20020244  52.588844091    2.874619360  -11.9716
20020245  54.242526337    7.891646277  471.8349
20020246  52.610449881    2.764116546  262.0277
20020247  52.592221255    4.434374903   62.0707
20020248  53.333074897    4.766127615  215.2051
20020249  52.667470228    5.554446679  418.6426
20020250  50.299922475    3.284588173  434.3087
20020251  53.445065504    2.487246570   -8.8028
20020252  50.979816494    4.983089002  435.6316
20020253  51.344055098    6.288726647  387.5156
20020254  51.961131120    5.288982910  137.0240
20020255  53.702651220    5.518132313   22.9780
20020256  50.648080221    3.798846063  178.5749
20020257  53.232442293    2.624988745  457.5168
20020258  53.175304484    4.085422411  436.0614
20020259  53.663442194    7.088817150  249.4752
20020260  55.066365654    7.696368938  216.5569
20020261  53.912183938    5.960647402  -44.3142
20020262  52.547720584    5.577775877  -30.6336
20020263  55.873405442    6.341663235  -26.1230
20020264  52.104179557    6.137860143  467.5128
20020265  52.986571408    3.440203465  433.8520
20020266  50.392400738    7.389125874  355.8435
20020267  53.529165347    4.965574822  240.5148
20020268  54.779459714    3.935130549  355.7997
20020269  52.539703657    3.081861155  -18.3460
20020270  53.367762838    2.496962894  -33.8840
20020271  52.180301206    6.734364354  -40.4593
20020272  50.189745867    5.425983581  201.4450
20020273  54.109433453    7.135189033  252.6693
20020274  51.953048348    5.366738868   91.3539
20020275  54.895644129    6.369652888  -29.6312
20020276  55.373713178    2.658973989  452.2546
20020277  53.806751861    6.279055165  453.3123
20020278  55.405709023    7.186490052  228.1985
20020279  54.541152673    2.611337534  356.1918
20020280  51.349932024    5.646968698  278.0685
20020281  54.963111593    6.002063415  222.7601
20020282  55.653660600    6.766199850  224.6458
20020283  52.697687695    3.953713515  272.6707
20020284  54.886005791    2.770224906  -40.2940
20020285  55.152017660    5.176693272  136.2829
20020286  53.518015145    6.043148436   22.2212
20020287  51.215894821    2.896896681   -9.1995
20020288  54.665437846    7.342990956  217.9919
20020289  55.485254818    7.738188060  413.2628
20020290  50.201282054    6.648646337  108.4393
20020291  55.079322803    6.559755423  352.9458
20020292  51.469813359    6.324895069  333.0487
20020293  55.161809623    7.208288910  254.1092
20020294  50.303917017    5.863838555  218.1963
20020295  54.293181124    7.676351365  425.5547
20020296  50.244478133    6.611887390  411.0078
20020297  51.435455271    6.476950730  310.6566
20020298  54.787560262    6.122302816  491.2502
20020299  52.290492938    2.100657608  -45.4938
20020300  55.727181977    2.939050867   60.1375
20020301  55.069068250    3.271407088   70.2953
20020302  52.438529954    2.943872771  259.9002
20020303  51.244158309    2.279199046  476.9306
20020304  53.886150493    7.662773078  150.6048
20020305  55.096603040    6.425071107   16.2726
20020306  54.473298612    6.132592300  -47.4898
20020307  54.365298436    5.774679480  438.2203
20020308  51.083681446    7.173358414   56.5674
20020309  50.996153726    5.722513105  330.8723
20020310  52.125121283    4.722474642  199.3209
20020311  52.495755157    6.305900641   74.2069
20020312  52.797986776    2.861614413  168.1751
20020313  54.805609762    5.082806017  158.0103
20020314  51.015667107    4.088612154  490.2727
20020315  52.930398423    3.811858177  -22.4699
20020316  52.022675469    5.626821986  497.2444
20020317  52.214854200    7.996746139  226.9203
20020318  50.634497709    7.407973029  416.8623
20020319  51.519968918    2.389461241  440.5622
20020320  50.399898447    4.421021621   91.0461
20020321  50.406915591    6.313885567  455.1589
20020322  55.594651374    3.240427288  348.0210
20020323  51.170122291    4.195707437  396.0315
20020324  52.376141926    4.367681517  117.5672
20020325  54.808034519    5.048443372  162.1084
20020326  50.311191298    7.302114677  398.9106
20020327  52.820728135    7.001935449  336.2462
20020328  53.699990917    3.512016956   77.4006
20020329  54.468357674    4.483034334  319.4273
20020330  52.017047389    5.855169253   77.2599
20020331  52.593537115    6.677100693  332.2401
20020332  52.264552333    7.133976496  447.9069
20020333  52.683432688    7.485260866  429.6409
20020334  50.945451589    6.064535846  341.2273
20020335  54.502702414    7.305696231  393.3415
20020336  54.887414447    3.887152194  286.5321
20020337  54.806036817    7.187506481  -46.5847
20020338  55.487678455    6.939389766  373.0853
20020339  52.424001134    5.589989742  406.8066
20020340  54.811911678    2.373886876  -31.1034
20020341  55.661357486    7.807015930  487.2905
20020342  55.022284973    5.964755822  140.9793
20020343  52.087428716    4.818033002  365.4968
20020344  53.106446327    7.275791798   78.8364
20020345  51.999688691    3.730560215  177.7119
20020346  52.524119558    5.965299315   68.4694
20020347  52.568024845    6.760815230  344.3011
20020348  55.125697596    5.904406801   65.9977
20020349  55.939593262    5.205629541  384.4510
20020350  53.588561039    3.901970223  176.9906
20020351  52.359724799    7.116262011    2.1732
20020352  55.323927527    6.251434561  182.1807
20020353  51.819595088    5.857337170  345.0010
20020354  51.743868777    6.464971822  137.6604
20020355  52.704554932    5.644614740  433.9379
20020356  55.749709956    4.862025799   72.3843
20020357  51.548645279    6.496137504  419.8568
20020358  51.594319782    3.316036496  -10.9501
20020359  51.989656549    7.822517916  148.3474
20020360  51.857389607    5.589802461  291.8222
20020361  52.741888702    7.289090830   50.6151
20020362  53.279700690    4.898846912   90.1209
20020363  53.661173148    2.729420199  194.9826
20020364  55.293773769    6.333747773  172.9364
20020365  54.195235306    6.890392402  388.8280
20020366  54.824914749    2.340464979  -45.2027
20020367  52.449290254    4.047144619  191.1030
20020368  51.797773388    7.127496545  148.2646
20020369  54.438634424    2.159279126    7.3253
20020370  52.836115678    5.272535114  156.8400
20020371  51.426256544    5.013710558  341.2172
20020372  55.217145495    7.828287916  483.1259
20020373  54.562071452    5.604689720  376.1086
20020374  53.691622280    4.832878604  440.7103
20020375  55.834200172    7.470701299  385.6060
20020376  54.979894227    7.588758857   -9.5761
20020377  52.247690683    3.816361509  353.7402
20020378  50.206701231    3.669908625  337.7645
20020379  50.158199168    2.376893816  239.4432
20020380  55.233791359    3.235776556  299.7399
20020381  50.119268009    4.697816659   59.2264
20020382  52.243982658    5.573061564  365.5895
20020383  55.189183015    5.440969206  308.9304
20020384  52.897673856    2.404830822   55.8049
20020385  51.309908585    3.199700845  151.4142
20020386  54.154584560    6.238614772  352.5477
20020387  52.118101749    3.998868252   22.1793
20020388  53.499539080    3.733123869  248.3054
20020389  52.070560549    5.080444432  458.7600
20020390  50.562307704    7.665827742  160.1170
20020391  54.898180583    6.935514767  314.3175
20020392  55.041969979    4.282401134   53.6852
20020393  55.097202441    4.009008359   49.5705
20020394  52.612722301    4.142080392   81.9970
20020395  50.035267120    2.516178850  255.0163
20020396  50.307691632    4.022819696  285.4572
20020397  53.601401364    4.798856539  177.0502
20020398  55.940437061    7.134808694  324.7462
20020399  51.309242408    4.458389584  341.9657
20020400  52.414174379    5.975518935  236.0313
20020401  54.015945884    6.951874728  483.6467
20020402  50.514230621    6.897447506  402.2748
20020403  52.791187922    5.916922384  -34.9912
20020404  50.043138677    3.287329642   88.6881
20020405  51.547177336    6.777618356   78.6326
20020406  51.974145788    6.960656703  128.7396
20020407  54.282148827    3.161271191  144.0241
20020408  53.234991901    2.522412113  252.0812
20020409  55.846336473    6.426729949  182.8516
20020410  55.827456253    3.079482704  344.8392
20020411  50.539526491    7.435776757   56.8359
20020412  50.543624195    4.950405518  380.0524
20020413  50.532307571    6.875470892  335.6942
20020414  54.587708819    5.420580701  339.6247
20020415  51.607629493    5.957465824   -0.3745
20020416  55.908107712    3.416982815  420.5773
20020417  53.189776492    7.334518589  299.9116
20020418  53.225481962    2.183493947  104.9403
20020419  52.487645243    4.348842489  408.3808
20020420  54.603744368    7.871856779   52.2228
20020421  51.339470124    4.932644691  438.5896
20020422  50.117093253    6.494581937  475.3496
20020423  54.521207084    4.815725705  183.6959
20020424  50.398124502    6.936930849  429.1269
20020425  52.990737159    7.253997906  412.9958
20020426  53.689447341    7.587053418   33.6215
20020427  52.635721557    2.636995814    9.8616
20020428  54.879350735    6.289908747   35.0557
20020429  51.184403401    3.363137439  372.4056
20020430  55.851735302    4.380570591  179.1590
20020431  53.531949718    6.195649333  246.3437
20020432  52.212739997    7.766893361  302.7711
20020433  51.403010647    4.274760949  335.8665
20020434  53.491502714    2.659866383  156.4659
20020435  53.851381190    3.283348255  170.0696
20020436  50.873689390    3.414552759  426.6629
20020437  50.179107379    6.917335747  169.6017
20020438  52.160124849    6.714776480  160.2591
20020439  50.232553952    6.421392912  438.3796
20020440  52.505808956    4.548096776  103.8926
20020441  51.163644357    4.176450992  462.6583
20020442  50.083812311    5.530176257  490.4254
20020443  55.440466780    4.873751354   15.3148
20020444  51.541100060    3.141303850  222.9492
20020445  53.526885892    7.409132476   49.9173
20020446  50.777307094    7.047584891   66.1690
20020447  55.335309533    6.829361599  366.9853
20020448  53.833916421    4.699118682   31.0486
20020449  55.559103176    7.584891671  308.1487
20020450  53.366571105    7.892935881  113.2992
20020451  53.146967046    2.461407328  256.4932
20020452  51.801761819    5.705870321   87.2244
20020453  55.886288528    4.447871113  494.3701
20020454  52.101401263    2.816924797  485.7695
20020455  51.419438288    3.913610480   39.0314
