point_id  x_coordinate  y_coordinate height
10020000   127767.3607   839078.2344  38.7032
10020001   195014.0632   245339.2943 -75.3155
10020002   321303.6092   486725.6149 218.6080
10020003   176376.0612   841271.6384 441.8765
10020004   294331.5925   529625.4297 257.2926
10020005    16271.4041   846526.0725 350.3111
10020006   226797.7507   425372.6488 -44.0974
10020007   175733.0226   826814.9773 418.9821
10020008   -28982.2009   596809.3987 142.3863
10020009   287941.6693   361231.9485 118.4390
10020010   282153.6586   768069.7339 266.8812
10020011    -8280.7195   795826.9632  -5.3900
10020012   146192.9473   417736.9535 -17.0053
10020013   309539.1121   297838.2993 275.7894
10020014   279169.4858   827972.1857 452.5312
10020015   161462.9083   621146.6255  39.3981
10020016   161333.9314   299116.7672 345.9753
10020017   191374.7770   496529.0675 280.3729
10020018   106604.6905   459377.0876  33.6222
10020019   176239.0619   296523.7700  84.9441
10020020   -38130.3388   266435.4239 379.3103
10020021     5273.8492   503034.5540 214.6078
10020022   177819.9699   765046.0905 250.6297
10020023   226702.9083   397895.2661 139.8562
10020024   183014.1181   349784.1786 419.5097
10020025   330148.2432   491030.2270 -66.4634
10020026   -26983.3439   516772.7758 394.1445
10020027    12228.9810   872912.0721 114.0585
10020028   123597.6346   676135.6965 -77.8131
10020029   -70497.8981   300470.0506 185.9963
10020030   253527.5730   731123.4776  78.6904
10020031   271093.8847   423545.2456 308.3299
10020032    -2512.3370   390061.1337 355.1985
10020033   258493.2248   647511.6686  -2.8611
10020034   212427.0865   508937.5160 123.8812
10020035   209997.2016   550472.8658 383.0604
10020036    40624.9550   686284.4750  67.9675
10020037   250903.7269   230391.5036 130.5306
10020038    65375.6641   297494.9520 378.7803
10020039   217813.6110   598485.4132 165.8410
10020040   127982.3279   882236.8237 422.8222
10020041    90716.2582   449357.0447 303.9579
10020042   166256.0298   583560.3000 158.7591
10020043   -19824.0746   856517.9600 436.6041
10020044   127636.9647   875028.3105 455.3836
10020045    45187.7521   820654.8601  49.6478
10020046   232056.9013   838596.5084 -79.8564
10020047   175295.2537   327014.2129 160.7561
10020048   210694.2453   685303.1608  11.4460
10020049   -43431.7078   238258.7495 151.9685
10020050   150859.4794   336429.2044 378.3742
10020051   108701.7484   504759.9630 190.9516
10020052   -60278.8904   671926.9687 102.5327
10020053   266716.3075   706946.3909  74.0543
10020054   339047.1618   276320.9846 328.6827
10020055   199605.4326   456113.6441 221.0845
10020056   209947.2413   460671.1993 -25.3087
10020057   249877.1523   427116.8919 -91.6478
